Kushagra : 2023-10-13 00:10:48.039814 : Reading the text file
Kushagra : 2023-10-13 00:10:48.039814 : conversion of string to list
Kushagra : 2023-10-13 00:10:48.098751 : Client 192.168.1.1 is UP
Kushagra : 2023-10-13 00:10:48.126192 : Client 192.168.1.2 is UP
Kushagra : 2023-10-13 00:10:48.156532 : Client 192.168.1.3 is UP
Kushagra : 2023-10-13 00:10:48.184324 : Client 192.168.1.10 is UP
Kushagra : 2023-10-13 00:10:48.208210 : Client 192.168.1.17 is UP
Kushagra : 2023-10-13 00:10:48.230457 : Client 192.168.1.56 is UP
Kushagra : 2023-10-13 00:10:48.252624 : Client 192.168.1.54 is UP
Kushagra : 2023-10-13 00:10:48.271074 : Client 192.168.1.51 is UP
Kushagra : 2023-10-13 00:10:48.290628 : Client 192.168.1.35 is UP
Kushagra : 2023-10-13 00:10:48.311511 : Client 192.168.1.33 is UP
