Kushagra : 2023-10-14 21:05:04.630222 : Reading the text file
Kushagra : 2023-10-14 21:05:04.630222 : conversion of string to list
Kushagra : 2023-10-14 21:05:04.661414 : Client 192.168.1.1 is UP
Kushagra : 2023-10-14 21:05:04.677002 : Client 192.168.1.2 is UP
Kushagra : 2023-10-14 21:05:04.709490 : Client 192.168.1.3 is UP
Kushagra : 2023-10-14 21:05:04.728762 : Client 192.168.1.10 is UP
Kushagra : 2023-10-14 21:05:04.747068 : Client 192.168.1.17 is UP
Kushagra : 2023-10-14 21:05:04.766453 : Client 192.168.1.56 is UP
Kushagra : 2023-10-14 21:05:04.786809 : Client 192.168.1.54 is UP
Kushagra : 2023-10-14 21:05:04.807155 : Client 192.168.1.51 is UP
Kushagra : 2023-10-14 21:05:04.826543 : Client 192.168.1.35 is UP
Kushagra : 2023-10-14 21:05:04.843847 : Client 192.168.1.33 is UP
Kushagra : 2023-10-14 21:05:04.860057 : Client 192.168.1.1 is UP
Kushagra : 2023-10-14 21:05:04.874230 : Client 192.168.1.2 is UP
Kushagra : 2023-10-14 21:05:04.889471 : Client 192.168.1.3 is UP
Kushagra : 2023-10-14 21:05:04.904546 : Client 192.168.1.10 is UP
Kushagra : 2023-10-14 21:05:04.918835 : Client 192.168.1.17 is UP
Kushagra : 2023-10-14 21:05:04.932889 : Client 192.168.1.56 is UP
Kushagra : 2023-10-14 21:05:04.946887 : Client 192.168.1.54 is UP
Kushagra : 2023-10-14 21:05:04.961889 : Client 192.168.1.51 is UP
Kushagra : 2023-10-14 21:05:04.977047 : Client 192.168.1.35 is UP
Kushagra : 2023-10-14 21:05:04.991201 : Client 192.168.1.33 is UP
