Kushagra : 2023-10-13 20:06:06.429046 : Reading the text file
Kushagra : 2023-10-13 20:06:06.429046 : conversion of string to list
Kushagra : 2023-10-13 20:06:06.479082 : Client 192.168.1.1 is UP
Kushagra : 2023-10-13 20:06:06.504227 : Client 192.168.1.2 is UP
Kushagra : 2023-10-13 20:06:06.523522 : Client 192.168.1.3 is UP
Kushagra : 2023-10-13 20:06:06.543125 : Client 192.168.1.10 is UP
Kushagra : 2023-10-13 20:06:06.563904 : Client 192.168.1.17 is UP
Kushagra : 2023-10-13 20:06:06.585265 : Client 192.168.1.56 is UP
Kushagra : 2023-10-13 20:06:06.607306 : Client 192.168.1.54 is UP
Kushagra : 2023-10-13 20:06:06.625531 : Client 192.168.1.51 is UP
Kushagra : 2023-10-13 20:06:06.642818 : Client 192.168.1.35 is UP
Kushagra : 2023-10-13 20:06:06.660467 : Client 192.168.1.33 is UP
