Kushagra : 2023-10-13 20:24:18.022807 : Reading the text file
Kushagra : 2023-10-13 20:24:18.022807 : conversion of string to list
Kushagra : 2023-10-13 20:24:18.061992 : Client 192.168.1.1 is UP
Kushagra : 2023-10-13 20:24:18.080704 : Client 192.168.1.2 is UP
Kushagra : 2023-10-13 20:24:18.098275 : Client 192.168.1.3 is UP
Kushagra : 2023-10-13 20:24:18.115421 : Client 192.168.1.10 is UP
Kushagra : 2023-10-13 20:24:18.137962 : Client 192.168.1.17 is UP
Kushagra : 2023-10-13 20:24:18.156141 : Client 192.168.1.56 is UP
Kushagra : 2023-10-13 20:24:18.175043 : Client 192.168.1.54 is UP
Kushagra : 2023-10-13 20:24:18.197966 : Client 192.168.1.51 is UP
Kushagra : 2023-10-13 20:24:18.215752 : Client 192.168.1.35 is UP
Kushagra : 2023-10-13 20:24:18.240510 : Client 192.168.1.33 is UP
